indicator_id,indicator_name,wb_code,year,value,source_url
primary_enrollment_rate,Primary School Net Enrollment Rate,SE.PRM.NENR,2021,,https://api.worldbank.org/v2/country/KE/indicator/SE.PRM.NENR
primary_enrollment_rate,Primary School Net Enrollment Rate,SE.PRM.NENR,2022,,https://api.worldbank.org/v2/country/KE/indicator/SE.PRM.NENR
primary_enrollment_rate,Primary School Net Enrollment Rate,SE.PRM.NENR,2023,,https://api.worldbank.org/v2/country/KE/indicator/SE.PRM.NENR
primary_enrollment_rate,Primary School Net Enrollment Rate,SE.PRM.NENR,2024,,https://api.worldbank.org/v2/country/KE/indicator/SE.PRM.NENR
primary_completion_rate,Primary School Completion Rate,SE.PRM.CMPT.ZS,2013,,https://api.worldbank.org/v2/country/KE/indicator/SE.PRM.CMPT.ZS
primary_completion_rate,Primary School Completion Rate,SE.PRM.CMPT.ZS,2014,,https://api.worldbank.org/v2/country/KE/indicator/SE.PRM.CMPT.ZS
primary_completion_rate,Primary School Completion Rate,SE.PRM.CMPT.ZS,2015,,https://api.worldbank.org/v2/country/KE/indicator/SE.PRM.CMPT.ZS
primary_completion_rate,Primary School Completion Rate,SE.PRM.CMPT.ZS,2016,,https://api.worldbank.org/v2/country/KE/indicator/SE.PRM.CMPT.ZS
primary_completion_rate,Primary School Completion Rate,SE.PRM.CMPT.ZS,2017,,https://api.worldbank.org/v2/country/KE/indicator/SE.PRM.CMPT.ZS
primary_completion_rate,Primary School Completion Rate,SE.PRM.CMPT.ZS,2018,,https://api.worldbank.org/v2/country/KE/indicator/SE.PRM.CMPT.ZS
primary_completion_rate,Primary School Completion Rate,SE.PRM.CMPT.ZS,2019,,https://api.worldbank.org/v2/country/KE/indicator/SE.PRM.CMPT.ZS
primary_completion_rate,Primary School Completion Rate,SE.PRM.CMPT.ZS,2020,,https://api.worldbank.org/v2/country/KE/indicator/SE.PRM.CMPT.ZS
primary_completion_rate,Primary School Completion Rate,SE.PRM.CMPT.ZS,2021,,https://api.worldbank.org/v2/country/KE/indicator/SE.PRM.CMPT.ZS
primary_completion_rate,Primary School Completion Rate,SE.PRM.CMPT.ZS,2022,,https://api.worldbank.org/v2/country/KE/indicator/SE.PRM.CMPT.ZS
primary_completion_rate,Primary School Completion Rate,SE.PRM.CMPT.ZS,2023,,https://api.worldbank.org/v2/country/KE/indicator/SE.PRM.CMPT.ZS
primary_completion_rate,Primary School Completion Rate,SE.PRM.CMPT.ZS,2024,,https://api.worldbank.org/v2/country/KE/indicator/SE.PRM.CMPT.ZS
pupil_teacher_ratio,Pupil-to-Teacher Ratio (Primary),SE.PRM.ENRL.TC.ZS,2013,,https://api.worldbank.org/v2/country/KE/indicator/SE.PRM.ENRL.TC.ZS
pupil_teacher_ratio,Pupil-to-Teacher Ratio (Primary),SE.PRM.ENRL.TC.ZS,2014,,https://api.worldbank.org/v2/country/KE/indicator/SE.PRM.ENRL.TC.ZS
pupil_teacher_ratio,Pupil-to-Teacher Ratio (Primary),SE.PRM.ENRL.TC.ZS,2015,,https://api.worldbank.org/v2/country/KE/indicator/SE.PRM.ENRL.TC.ZS
pupil_teacher_ratio,Pupil-to-Teacher Ratio (Primary),SE.PRM.ENRL.TC.ZS,2016,,https://api.worldbank.org/v2/country/KE/indicator/SE.PRM.ENRL.TC.ZS
pupil_teacher_ratio,Pupil-to-Teacher Ratio (Primary),SE.PRM.ENRL.TC.ZS,2017,,https://api.worldbank.org/v2/country/KE/indicator/SE.PRM.ENRL.TC.ZS
pupil_teacher_ratio,Pupil-to-Teacher Ratio (Primary),SE.PRM.ENRL.TC.ZS,2018,,https://api.worldbank.org/v2/country/KE/indicator/SE.PRM.ENRL.TC.ZS
pupil_teacher_ratio,Pupil-to-Teacher Ratio (Primary),SE.PRM.ENRL.TC.ZS,2019,,https://api.worldbank.org/v2/country/KE/indicator/SE.PRM.ENRL.TC.ZS
pupil_teacher_ratio,Pupil-to-Teacher Ratio (Primary),SE.PRM.ENRL.TC.ZS,2020,,https://api.worldbank.org/v2/country/KE/indicator/SE.PRM.ENRL.TC.ZS
pupil_teacher_ratio,Pupil-to-Teacher Ratio (Primary),SE.PRM.ENRL.TC.ZS,2021,,https://api.worldbank.org/v2/country/KE/indicator/SE.PRM.ENRL.TC.ZS
pupil_teacher_ratio,Pupil-to-Teacher Ratio (Primary),SE.PRM.ENRL.TC.ZS,2022,,https://api.worldbank.org/v2/country/KE/indicator/SE.PRM.ENRL.TC.ZS
pupil_teacher_ratio,Pupil-to-Teacher Ratio (Primary),SE.PRM.ENRL.TC.ZS,2023,,https://api.worldbank.org/v2/country/KE/indicator/SE.PRM.ENRL.TC.ZS
pupil_teacher_ratio,Pupil-to-Teacher Ratio (Primary),SE.PRM.ENRL.TC.ZS,2024,,https://api.worldbank.org/v2/country/KE/indicator/SE.PRM.ENRL.TC.ZS
electrification_rate,Access to Electricity,EG.ELC.ACCS.ZS,2013,,https://api.worldbank.org/v2/country/KE/indicator/EG.ELC.ACCS.ZS
electrification_rate,Access to Electricity,EG.ELC.ACCS.ZS,2014,,https://api.worldbank.org/v2/country/KE/indicator/EG.ELC.ACCS.ZS
