fiscal_year,county_code,county_name,ind_skilled_birth_attendance_norm,ind_primary_completion_norm,ind_pupil_teacher_ratio_norm,ind_poverty_headcount_norm,service_delivery_score,components_available
2022/23,29,Nandi,,,,,,4
2023/24,29,Nandi,,,,,,4
2013/14,30,Baringo,,,,,,4
2014/15,30,Baringo,,,,,,4
2015/16,30,Baringo,,,,,,4
2016/17,30,Baringo,,,,,,4
2017/18,30,Baringo,,,,,,4
2018/19,30,Baringo,,,,,,4
2019/20,30,Baringo,,,,,,4
2020/21,30,Baringo,,,,,,4
2021/22,30,Baringo,,,,,,4
2022/23,30,Baringo,,,,,,4
2023/24,30,Baringo,,,,,,4
2013/14,31,Laikipia,,,,,,4
2014/15,31,Laikipia,,,,,,4
2015/16,31,Laikipia,,,,,,4
2016/17,31,Laikipia,,,,,,4
2017/18,31,Laikipia,,,,,,4
2018/19,31,Laikipia,,,,,,4
2019/20,31,Laikipia,,,,,,4
2020/21,31,Laikipia,,,,,,4
2021/22,31,Laikipia,,,,,,4
2022/23,31,Laikipia,,,,,,4
2023/24,31,Laikipia,,,,,,4
2013/14,32,Nakuru,74.32762836185819,85.6777493606138,82.45614035087719,75.03486750348675,79.4,4
2014/15,32,Nakuru,,,,,,4
2015/16,32,Nakuru,,,,,,4
2016/17,32,Nakuru,,,,,,4
2017/18,32,Nakuru,,,,,,4
2018/19,32,Nakuru,,,,,,4
2019/20,32,Nakuru,,,,,,4
2020/21,32,Nakuru,,,,,,4
2021/22,32,Nakuru,85.33007334963325,90.7928388746803,89.47368421052632,82.70571827057182,87.1,4
2022/23,32,Nakuru,,,,,,4
2023/24,32,Nakuru,,,,,,4
2013/14,33,Narok,,,,,,4
2014/15,33,Narok,,,,,,4
2015/16,33,Narok,,,,,,4
2016/17,33,Narok,,,,,,4
2017/18,33,Narok,,,,,,4
2018/19,33,Narok,,,,,,4
2019/20,33,Narok,,,,,,4
2020/21,33,Narok,,,,,,4
2021/22,33,Narok,,,,,,4
2022/23,33,Narok,,,,,,4
2023/24,33,Narok,,,,,,4
2013/14,34,Kajiado,,,,,,4
2014/15,34,Kajiado,,,,,,4
2015/16,34,Kajiado,,,,,,4
2016/17,34,Kajiado,,,,,,4
2017/18,34,Kajiado,,,,,,4
2018/19,34,Kajiado,,,,,,4
2019/20,34,Kajiado,,,,,,4
2020/21,34,Kajiado,,,,,,4
2021/22,34,Kajiado,,,,,,4
2022/23,34,Kajiado,,,,,,4
2023/24,34,Kajiado,,,,,,4
2013/14,35,Kericho,,,,,,4
2014/15,35,Kericho,,,,,,4
2015/16,35,Kericho,,,,,,4
2016/17,35,Kericho,,,,,,4
2017/18,35,Kericho,,,,,,4
2018/19,35,Kericho,,,,,,4
2019/20,35,Kericho,,,,,,4
2020/21,35,Kericho,,,,,,4
2021/22,35,Kericho,,,,,,4
2022/23,35,Kericho,,,,,,4
2023/24,35,Kericho,,,,,,4
2013/14,36,Bomet,,,,,,4
2014/15,36,Bomet,,,,,,4
2015/16,36,Bomet,,,,,,4
2016/17,36,Bomet,,,,,,4
2017/18,36,Bomet,,,,,,4
2018/19,36,Bomet,,,,,,4
2019/20,36,Bomet,,,,,,4
2020/21,36,Bomet,,,,,,4
2021/22,36,Bomet,,,,,,4
2022/23,36,Bomet,,,,,,4
2023/24,36,Bomet,,,,,,4
2013/14,37,Kakamega,49.87775061124694,69.0537084398977,57.89473684210527,51.04602510460251,57.0,4
2014/15,37,Kakamega,,,,,,4
2015/16,37,Kakamega,,,,,,4
2016/17,37,Kakamega,,,,,,4
2017/18,37,Kakamega,,,,,,4
2018/19,37,Kakamega,,,,,,4
2019/20,37,Kakamega,,,,,,4
2020/21,37,Kakamega,,,,,,4
2021/22,37,Kakamega,60.26894865525673,76.72634271099744,68.42105263157895,61.08786610878661,66.6,4
2022/23,37,Kakamega,,,,,,4
2023/24,37,Kakamega,,,,,,4
2013/14,38,Vihiga,,,,,,4
2014/15,38,Vihiga,,,,,,4
2015/16,38,Vihiga,,,,,,4
2016/17,38,Vihiga,,,,,,4
2017/18,38,Vihiga,,,,,,4
2018/19,38,Vihiga,,,,,,4
2019/20,38,Vihiga,,,,,,4
2020/21,38,Vihiga,,,,,,4
2021/22,38,Vihiga,,,,,,4
2022/23,38,Vihiga,,,,,,4
2023/24,38,Vihiga,,,,,,4
2013/14,39,Bungoma,,,,,,4
2014/15,39,Bungoma,,,,,,4
2015/16,39,Bungoma,,,,,,4
2016/17,39,Bungoma,,,,,,4
2017/18,39,Bungoma,,,,,,4
2018/19,39,Bungoma,,,,,,4
2019/20,39,Bungoma,,,,,,4
2020/21,39,Bungoma,,,,,,4
2021/22,39,Bungoma,,,,,,4
2022/23,39,Bungoma,,,,,,4
2023/24,39,Bungoma,,,,,,4
2013/14,40,Busia,,,,,,4
2014/15,40,Busia,,,,,,4
2015/16,40,Busia,,,,,,4
2016/17,40,Busia,,,,,,4
2017/18,40,Busia,,,,,,4
2018/19,40,Busia,,,,,,4
2019/20,40,Busia,,,,,,4
2020/21,40,Busia,,,,,,4
2021/22,40,Busia,,,,,,4
2022/23,40,Busia,,,,,,4
2023/24,40,Busia,,,,,,4
2013/14,41,Siaya,,,,,,4
2014/15,41,Siaya,,,,,,4
2015/16,41,Siaya,,,,,,4
2016/17,41,Siaya,,,,,,4
2017/18,41,Siaya,,,,,,4
2018/19,41,Siaya,,,,,,4
2019/20,41,Siaya,,,,,,4
2020/21,41,Siaya,,,,,,4
2021/22,41,Siaya,,,,,,4
2022/23,41,Siaya,,,,,,4
2023/24,41,Siaya,,,,,,4
2013/14,42,Kisumu,69.68215158924205,76.72634271099744,70.17543859649123,63.73779637377964,70.1,4
2014/15,42,Kisumu,,,,,,4
2015/16,42,Kisumu,,,,,,4
2016/17,42,Kisumu,,,,,,4
2017/18,42,Kisumu,,,,,,4
2018/19,42,Kisumu,,,,,,4
2019/20,42,Kisumu,,,,,,4
2020/21,42,Kisumu,,,,,,4
2021/22,42,Kisumu,79.82885085574573,83.12020460358056,78.94736842105263,72.24546722454673,78.5,4
2022/23,42,Kisumu,,,,,,4
2023/24,42,Kisumu,,,,,,4
2013/14,43,Homa Bay,,,,,,4
2014/15,43,Homa Bay,,,,,,4
2015/16,43,Homa Bay,,,,,,4
2016/17,43,Homa Bay,,,,,,4
2017/18,43,Homa Bay,,,,,,4
2018/19,43,Homa Bay,,,,,,4
2019/20,43,Homa Bay,,,,,,4
2020/21,43,Homa Bay,,,,,,4
2021/22,43,Homa Bay,,,,,,4
2022/23,43,Homa Bay,,,,,,4
2023/24,43,Homa Bay,,,,,,4
2013/14,44,Migori,,,,,,4
2014/15,44,Migori,,,,,,4
2015/16,44,Migori,,,,,,4
2016/17,44,Migori,,,,,,4
2017/18,44,Migori,,,,,,4
2018/19,44,Migori,,,,,,4
2019/20,44,Migori,,,,,,4
2020/21,44,Migori,,,,,,4
2021/22,44,Migori,,,,,,4
2022/23,44,Migori,,,,,,4
2023/24,44,Migori,,,,,,4
2013/14,45,Kisii,,,,,,4
2014/15,45,Kisii,,,,,,4
2015/16,45,Kisii,,,,,,4
2016/17,45,Kisii,,,,,,4
2017/18,45,Kisii,,,,,,4
2018/19,45,Kisii,,,,,,4
2019/20,45,Kisii,,,,,,4
2020/21,45,Kisii,,,,,,4
2021/22,45,Kisii,,,,,,4
2022/23,45,Kisii,,,,,,4
2023/24,45,Kisii,,,,,,4
2013/14,46,Nyamira,,,,,,4
2014/15,46,Nyamira,,,,,,4
2015/16,46,Nyamira,,,,,,4
2016/17,46,Nyamira,,,,,,4
2017/18,46,Nyamira,,,,,,4
2018/19,46,Nyamira,,,,,,4
2019/20,46,Nyamira,,,,,,4
2020/21,46,Nyamira,,,,,,4
2021/22,46,Nyamira,,,,,,4
2022/23,46,Nyamira,,,,,,4
2023/24,46,Nyamira,,,,,,4
2013/14,47,Nairobi,95.35452322738386,98.46547314578005,87.71929824561404,96.37377963737796,94.5,4
2014/15,47,Nairobi,,,,,,4
2015/16,47,Nairobi,,,,,,4
2016/17,47,Nairobi,,,,,,4
2017/18,47,Nairobi,,,,,,4
2018/19,47,Nairobi,,,,,,4
2019/20,47,Nairobi,,,,,,4
2020/21,47,Nairobi,,,,,,4
2021/22,47,Nairobi,99.38875305623472,100.0,92.98245614035088,100.0,98.1,4
2022/23,47,Nairobi,,,,,,4
2023/24,47,Nairobi,,,,,,4
